ID,Date_,WeightPf,WeightBm
@STMIC3,2023-01-03,0.009593863483372359,0.0546610336653514
@ASMIN1,2023-01-03,0.0003727499794514243,0.02663293176536931
@INFIN4,2023-01-03,0.038870214768779006,0.08970612152501822
@ASMLH1,2023-01-03,0.07302982465206138,0.1455303282634613
@DASSA5,2023-01-03,0.02113676739112966,0.053881077583327115
@CAPGE1,2023-01-03,0.024893028322220758,0.062168069854412734
@SAGEG5,2023-01-03,0.04263516018209477,0.020492212481758715
@EDENR3,2023-01-03,0.08295825618885064,0.030084040713766445
@NEXIS3,2023-01-03,0.05425329350127079,0.010663613261641176
@TEMEN1,2023-01-03,0.07279053180247148,0.007821602154191854
@SAPAG5,2023-01-03,0.09466074555689714,0.1455303282634613
@ADYEN1,2023-01-03,0.011494220479038274,0.06779231732857567
@NEMET1,2023-01-03,0.023869805408965113,0.006531032725709606
@AVEVA1,2023-01-03,0.07261107742693934,0.01046553211451124
@BECHT2,2023-01-03,0.01572856186947549,0.006406098355808596
@AMADE28,2023-01-03,0.06823951845527912,0.05316827173294926
@WORLD202,2023-01-03,0.11102577254026902,0.021292542554787842
@HEXAG2,2023-01-03,0.053810820016169936,0.046252672129483925
@NOKIA1,2023-01-03,0.00025937836033902684,0.05749984284927188
@ERICS13,2023-01-03,0.05823498047162385,0.0392613622934092
@HALMA1,2023-01-03,0.0652668240616803,0.020216612140362064
@LOGIT6,2023-01-03,0.00426460508162134,0.02394235624337131
