,@ADYEN1,@AMADE28,@ASMIN1,@ASMLH1,@AVEVA1,@BECHT2,@CAPGE1,@DASSA5,@EDENR3,@ERICS13,@HALMA1,@HEXAG2,@INFIN4,@LOGIT6,@NEMET1,@NEXIS3,@NOKIA1,@SAGEG5,@SAPAG5,@STMIC3,@TEMEN1,@WORLD202
@ADYEN1,1.0000000000000002,0.5280800832951015,0.5211455859661778,0.6244604485775826,0.2550317937802098,0.5497188600806049,0.6206348625169158,0.7128413393883987,0.1510599346220456,0.2970218154718426,0.5517286140564401,0.6916328818346699,0.5481762763947297,0.5616181937764645,0.6357128248588055,0.6007810287059636,0.4550696987596373,0.5113182118524997,0.5638092837995996,0.5994187955285354,0.4248778325674934,0.6041013974529382
@AMADE28,0.5280800832951015,1.0000000000000002,0.3846716816567728,0.4584882773690717,0.0857474022323618,0.48841769864126827,0.5197519307058044,0.5356215580374901,0.21932770485689815,0.292331473161249,0.4899656175826454,0.5552979310858348,0.45173239114875113,0.43143283558434753,0.5004489451265088,0.5018372258202587,0.3409361738821951,0.37019106154072506,0.5063883438370277,0.4877053480673234,0.4599748574374168,0.42145966387473227
@ASMIN1,0.5211455859661778,0.3846716816567728,1.0000000000000002,0.835410235592355,0.18171727552651504,0.5776695725787167,0.5655949331168144,0.6479608752789173,0.20320266417510172,0.3010504747483773,0.5081610351555569,0.6089189377825013,0.7046926055659116,0.5110863194203809,0.5521537467322797,0.3872025557098917,0.5150171434596492,0.4451340975679799,0.40074032280528793,0.7444047993626025,0.423987410041991,0.36982603944828535
@ASMLH1,0.6244604485775826,0.4584882773690717,0.835410235592355,0.9999999999999999,0.17925943812457606,0.5909941695637514,0.6165125834372439,0.6748840563437991,0.18489827853045535,0.329130352271727,0.5656156862189027,0.6862987040876612,0.7550780435786297,0.56942661060042,0.5775662939777367,0.45455873333296043,0.46126552735532145,0.507499003883275,0.5390592155171654,0.7854870126941459,0.4848266796589858,0.42349656123400825
@AVEVA1,0.2550317937802098,0.0857474022323618,0.18171727552651504,0.17925943812457606,0.9999999999999999,0.14023440125822403,0.20644419511260412,0.20318262670397094,0.08480559742620125,0.13952377901182617,0.16341461327491108,0.18525930165523297,0.17140303083056949,0.11566189815660843,0.189831680055435,0.15071409517109124,0.11965339427447938,0.18883248553832846,0.14966616152374396,0.15462458816854024,0.17166215473825394,0.1433324849609848
@BECHT2,0.5497188600806049,0.48841769864126827,0.5776695725787167,0.5909941695637514,0.14023440125822403,1.0,0.6538212580254995,0.6434125752859872,0.2676523200453395,0.388182933959365,0.6397240956625342,0.6801254443103566,0.6387707656263125,0.6014873899189128,0.7011407274709823,0.4607110457181354,0.46539530639372406,0.4695909072345402,0.559087780516793,0.6329669632877859,0.4674060514908437,0.41986038826026556
@CAPGE1,0.6206348625169158,0.5197519307058044,0.5655949331168144,0.6165125834372439,0.20644419511260412,0.6538212580254995,0.9999999999999999,0.7073691162762995,0.2259239273485785,0.39299414507260666,0.5991877575449038,0.721004051474118,0.6168060435342609,0.6104706743489946,0.6550390016482044,0.44465254337398774,0.4398792201947179,0.5093065797198105,0.5641116595211487,0.60319215965215,0.47604141754241247,0.4419533305970146
@DASSA5,0.7128413393883987,0.5356215580374901,0.6479608752789173,0.6748840563437991,0.20318262670397094,0.6434125752859872,0.7073691162762995,1.0,0.21987162475235686,0.32220380100488616,0.657654078548831,0.7347987769537506,0.626311891132768,0.6412869689445124,0.7418419805684241,0.514798716951189,0.39819718909060103,0.5777976731970286,0.6306106987816246,0.6890081037805407,0.4857753783153238,0.4659618957092422
@EDENR3,0.1510599346220456,0.21932770485689815,0.20320266417510172,0.18489827853045535,0.08480559742620125,0.2676523200453395,0.2259239273485785,0.21987162475235686,1.0,0.056367450522688316,0.14736609269921422,0.20230712398411796,0.3014590328410922,0.09315637329643348,0.25441584420511365,0.18647795540528175,0.1241861942345637,0.2591393678305165,0.20486117667114992,0.22220712249627522,0.21512128806527447,0.3057060486620384
@ERICS13,0.2970218154718426,0.292331473161249,0.3010504747483773,0.329130352271727,0.13952377901182617,0.388182933959365,0.39299414507260666,0.32220380100488616,0.056367450522688316,1.0,0.35315554988986475,0.4387261515409854,0.3654523597087425,0.34621921067607214,0.3690788284221805,0.3319841879661086,0.6625999164052108,0.30359030776949075,0.31778034941815153,0.3374551166389031,0.27553168974692166,0.3453909905235484
@HALMA1,0.5517286140564401,0.4899656175826454,0.5081610351555569,0.5656156862189027,0.16341461327491108,0.6397240956625342,0.5991877575449038,0.657654078548831,0.14736609269921422,0.35315554988986475,0.9999999999999999,0.6986565969822023,0.5484783488320885,0.5741365278933293,0.5914329642650783,0.48038045024278847,0.4137035457265141,0.5899735388974013,0.5876714117859068,0.5603529144820311,0.40870586653292507,0.3944128386418607
@HEXAG2,0.6916328818346699,0.5552979310858348,0.6089189377825013,0.6862987040876612,0.18525930165523297,0.6801254443103566,0.721004051474118,0.7347987769537506,0.20230712398411796,0.4387261515409854,0.6986565969822023,1.0,0.6529529502362951,0.6988582672956698,0.6384155725714362,0.5771907273746538,0.5071837807274926,0.5703649160518008,0.6538546756054041,0.6933571726382666,0.49242073250919205,0.4703530535490016
@INFIN4,0.5481762763947297,0.45173239114875113,0.7046926055659116,0.7550780435786297,0.17140303083056949,0.6387707656263125,0.6168060435342609,0.626311891132768,0.3014590328410922,0.3654523597087425,0.5484783488320885,0.6529529502362951,1.0,0.56265727323065,0.6080875724786055,0.5049723365862426,0.4493711210001176,0.4875618771459037,0.5317741612861555,0.842090045389378,0.494412764429577,0.48798873813344634
@LOGIT6,0.5616181937764645,0.43143283558434753,0.5110863194203809,0.56942661060042,0.11566189815660843,0.6014873899189128,0.6104706743489946,0.6412869689445124,0.09315637329643348,0.34621921067607214,0.5741365278933293,0.6988582672956698,0.56265727323065,1.0,0.5729991360807374,0.4421574795749642,0.4306818304911488,0.47449510550450125,0.5982648291446956,0.5878826676620744,0.47434404347878995,0.3081212447853694
@NEMET1,0.6357128248588055,0.5004489451265088,0.5521537467322797,0.5775662939777367,0.189831680055435,0.7011407274709823,0.6550390016482044,0.7418419805684241,0.25441584420511365,0.3690788284221805,0.5914329642650783,0.6384155725714362,0.6080875724786055,0.5729991360807374,0.9999999999999999,0.4683422755951041,0.38546190772295835,0.5412763564516181,0.5873959191522417,0.6296823808279395,0.49125332291131457,0.45521484827172903
@NEXIS3,0.6007810287059636,0.5018372258202587,0.3872025557098917,0.45455873333296043,0.15071409517109124,0.4607110457181354,0.44465254337398774,0.514798716951189,0.18647795540528175,0.3319841879661086,0.48038045024278847,0.5771907273746538,0.5049723365862426,0.4421574795749642,0.4683422755951041,1.0,0.367762795668677,0.3387795454433849,0.4721859104728381,0.5218932622643437,0.42676935626535867,0.7157873030893919
@NOKIA1,0.4550696987596373,0.3409361738821951,0.5150171434596492,0.46126552735532145,0.11965339427447938,0.46539530639372406,0.4398792201947179,0.39819718909060103,0.1241861942345637,0.6625999164052108,0.4137035457265141,0.5071837807274926,0.4493711210001176,0.4306818304911488,0.38546190772295835,0.367762795668677,0.9999999999999999,0.35021148527365276,0.3158508594350682,0.4436074418747682,0.32091240005889504,0.3365958575167342
@SAGEG5,0.5113182118524997,0.37019106154072506,0.4451340975679799,0.507499003883275,0.18883248553832846,0.4695909072345402,0.5093065797198105,0.5777976731970286,0.2591393678305165,0.30359030776949075,0.5899735388974013,0.5703649160518008,0.4875618771459037,0.47449510550450125,0.5412763564516181,0.3387795454433849,0.35021148527365276,1.0000000000000002,0.529404644520302,0.5089264217417825,0.34196007970623016,0.349209778123676
@SAPAG5,0.5638092837995996,0.5063883438370277,0.40074032280528793,0.5390592155171654,0.14966616152374396,0.559087780516793,0.5641116595211487,0.6306106987816246,0.20486117667114992,0.31778034941815153,0.5876714117859068,0.6538546756054041,0.5317741612861555,0.5982648291446956,0.5873959191522417,0.4721859104728381,0.3158508594350682,0.529404644520302,0.9999999999999998,0.548565526022464,0.4143721408185499,0.3769792756518625
@STMIC3,0.5994187955285354,0.4877053480673234,0.7444047993626025,0.7854870126941459,0.15462458816854024,0.6329669632877859,0.60319215965215,0.6890081037805407,0.22220712249627522,0.3374551166389031,0.5603529144820311,0.6933571726382666,0.842090045389378,0.5878826676620744,0.6296823808279395,0.5218932622643437,0.4436074418747682,0.5089264217417825,0.548565526022464,1.0,0.5037948558149032,0.5334694627098034
@TEMEN1,0.4248778325674934,0.4599748574374168,0.423987410041991,0.4848266796589858,0.17166215473825394,0.4674060514908437,0.47604141754241247,0.4857753783153238,0.21512128806527447,0.27553168974692166,0.40870586653292507,0.49242073250919205,0.494412764429577,0.47434404347878995,0.49125332291131457,0.42676935626535867,0.32091240005889504,0.34196007970623016,0.4143721408185499,0.5037948558149032,0.9999999999999999,0.49377217289688474
@WORLD202,0.6041013974529382,0.42145966387473227,0.36982603944828535,0.42349656123400825,0.1433324849609848,0.41986038826026556,0.4419533305970146,0.4659618957092422,0.3057060486620384,0.3453909905235484,0.3944128386418607,0.4703530535490016,0.48798873813344634,0.3081212447853694,0.45521484827172903,0.7157873030893919,0.3365958575167342,0.349209778123676,0.3769792756518625,0.5334694627098034,0.49377217289688474,1.0
