ID,Industry,Active_Weight,Realized_Ret,Contribution
@ADYEN1,Software,0.30200642829133123,0.11559633027522964,0.03491083483000718
@AMADE28,Software,-0.0567541157925187,0.25325203252033623,-0.014373095178349874
@ASMIN1,HardwarePlus,0.40738265018352887,0.5495833333333242,0.22389071483002737
@ASMLH1,HardwarePlus,0.0046237076576085695,0.20426706647898474,0.0009444711994761205
@AVEVA1,Software,-0.009440560101403523,0.0007907158161617467,-7.4648001856053095e-06
@BECHT2,Software,-0.006885293050826676,0.3294046539740283,-0.002268047574917343
@CAPGE1,Software,-0.02342427594444584,0.06952709051048767,-0.0016286217537321247
@DASSA5,Software,-0.05202656838365851,0.11054097639641758,-0.005751067667684601
@EDENR3,Software,-0.027829928181203254,0.08472553699283814,-0.002357905609624565
@ERICS13,HardwarePlus,-0.033862900210951216,-0.023134240620212965,0.0007833924815784058
@HALMA1,HardwarePlus,-0.01932395545490376,0.09855640736475801,-0.0019044996257119328
@HEXAG2,HardwarePlus,-0.04353398762494668,0.04923387691442205,-0.0021433469883205976
@INFIN4,HardwarePlus,-0.09514059796310102,0.30907919413667306,-0.02940597934811646
@LOGIT6,HardwarePlus,-0.019367102609584144,-0.09644783762548015,0.0018679151677651845
@NEMET1,Software,-0.006411675852936582,0.29380494786346345,-0.00188378208968946
@NEXIS3,Software,-0.009938900745228652,-0.01083509513741554,0.00010768893513588266
@NOKIA1,HardwarePlus,-0.052125862522921014,0.024738287579209484,-0.001289504577406358
@SAGEG5,Software,-0.01919813124639658,0.05916402287699296,-0.0011358386762573207
@SAPAG5,Software,-0.1457833793841462,0.1781545020809978,-0.02597196536586777
@STMIC3,HardwarePlus,-0.06379518522317067,0.4618362851617124,-0.029462931354672508
@TEMEN1,Software,-0.008574985442650953,0.18777496785736592,-0.0016101676158711633
@WORLD202,Software,-0.020595380397474747,0.04488378306170948,-0.0009243985858336406
